0.468, 0.000, 0.000, 0.531, 0.000, 0.000, 0.174, 0.000, 0.230, 0.172, 0.000, 0.000, 0.574, 0.248, 0.000, 0.103, 0.000, 0.000, 0.061, 0.000, 0.413, 0.000, 0.000, 0.103, 0.062, 0.000, 0.119, 0.565, 0.000, 0.678, 0.000, 0.340, 0.584, 0.108, 0.000, 0.000, 0.190, 0.000, 0.000, 0.000, 0.330, 0.127, 0.667, 0.000, 0.000, 0.000, 0.604, 0.000, 0.258, 0.000, 0.000, 0.000, 0.000, 0.548, 0.461, 0.000, 0.000, 0.188, 0.000, 0.649, 0.000, 0.000, 0.000, 0.000
0.000, 0.242, 0.284, 0.000, 0.295, 0.014, 0.000, 0.191, 0.000, 0.000, 0.167, 0.048, 0.000, 0.000, 0.312, 0.000, 0.010, 0.482, 0.000, 0.162, 0.000, 0.120, 0.154, 0.000, 0.000, 0.045, 0.000, 0.000, 0.352, 0.000, 0.097, 0.000, 0.000, 0.000, 0.208, 0.392, 0.000, 0.051, 0.205, 0.463, 0.000, 0.000, 0.000, 0.076, 0.309, 0.002, 0.000, 0.324, 0.000, 0.288, 0.211, 0.392, 0.400, 0.000, 0.000, 0.313, 0.180, 0.000, 0.491, 0.000, 0.152, 0.003, 0.398, 0.273
0.000, 0.284, 0.334, 0.000, 0.347, 0.017, 0.000, 0.224, 0.000, 0.000, 0.197, 0.057, 0.000, 0.000, 0.367, 0.000, 0.012, 0.567, 0.000, 0.191, 0.000, 0.141, 0.181, 0.000, 0.000, 0.053, 0.000, 0.000, 0.414, 0.000, 0.114, 0.000, 0.000, 0.000, 0.245, 0.461, 0.000, 0.060, 0.242, 0.545, 0.000, 0.000, 0.000, 0.089, 0.364, 0.003, 0.000, 0.382, 0.000, 0.339, 0.248, 0.461, 0.470, 0.000, 0.000, 0.368, 0.212, 0.000, 0.578, 0.000, 0.179, 0.004, 0.468, 0.322
0.531, 0.000, 0.000, 0.603, 0.000, 0.000, 0.198, 0.000, 0.261, 0.195, 0.000, 0.000, 0.651, 0.281, 0.000, 0.117, 0.000, 0.000, 0.069, 0.000, 0.468, 0.000, 0.000, 0.117, 0.071, 0.000, 0.135, 0.642, 0.000, 0.770, 0.000, 0.386, 0.663, 0.122, 0.000, 0.000, 0.216, 0.000, 0.000, 0.000, 0.375, 0.144, 0.758, 0.000, 0.000, 0.000, 0.686, 0.000, 0.293, 0.000, 0.000, 0.000, 0.000, 0.622, 0.523, 0.000, 0.000, 0.214, 0.000, 0.736, 0.000, 0.000, 0.000, 0.000
0.000, 0.295, 0.347, 0.000, 0.360, 0.018, 0.000, 0.233, 0.000, 0.000, 0.204, 0.059, 0.000, 0.000, 0.381, 0.000, 0.012, 0.588, 0.000, 0.198, 0.000, 0.146, 0.187, 0.000, 0.000, 0.055, 0.000, 0.000, 0.429, 0.000, 0.118, 0.000, 0.000, 0.000, 0.254, 0.478, 0.000, 0.062, 0.251, 0.565, 0.000, 0.000, 0.000, 0.092, 0.377, 0.003, 0.000, 0.396, 0.000, 0.351, 0.258, 0.478, 0.488, 0.000, 0.000, 0.382, 0.220, 0.000, 0.599, 0.000, 0.186, 0.004, 0.486, 0.333
0.000, 0.014, 0.017, 0.000, 0.018, 0.001, 0.000, 0.011, 0.000, 0.000, 0.010, 0.003, 0.000, 0.000, 0.019, 0.000, 0.001, 0.029, 0.000, 0.010, 0.000, 0.007, 0.009, 0.000, 0.000, 0.003, 0.000, 0.000, 0.021, 0.000, 0.006, 0.000, 0.000, 0.000, 0.012, 0.023, 0.000, 0.003, 0.012, 0.028, 0.000, 0.000, 0.000, 0.004, 0.018, 0.000, 0.000, 0.019, 0.000, 0.017, 0.013, 0.023, 0.024, 0.000, 0.000, 0.019, 0.011, 0.000, 0.029, 0.000, 0.009, 0.000, 0.024, 0.016
0.174, 0.000, 0.000, 0.198, 0.000, 0.000, 0.065, 0.000, 0.086, 0.064, 0.000, 0.000, 0.214, 0.092, 0.000, 0.038, 0.000, 0.000, 0.023, 0.000, 0.154, 0.000, 0.000, 0.038, 0.023, 0.000, 0.044, 0.210, 0.000, 0.253, 0.000, 0.127, 0.217, 0.040, 0.000, 0.000, 0.071, 0.000, 0.000, 0.000, 0.123, 0.047, 0.248, 0.000, 0.000, 0.000, 0.225, 0.000, 0.096, 0.000, 0.000, 0.000, 0.000, 0.204, 0.172, 0.000, 0.000, 0.070, 0.000, 0.241, 0.000, 0.000, 0.000, 0.000
0.000, 0.191, 0.224, 0.000, 0.233, 0.011, 0.000, 0.151, 0.000, 0.000, 0.132, 0.038, 0.000, 0.000, 0.246, 0.000, 0.008, 0.381, 0.000, 0.128, 0.000, 0.094, 0.121, 0.000, 0.000, 0.036, 0.000, 0.000, 0.278, 0.000, 0.076, 0.000, 0.000, 0.000, 0.164, 0.309, 0.000, 0.040, 0.162, 0.365, 0.000, 0.000, 0.000, 0.060, 0.244, 0.002, 0.000, 0.256, 0.000, 0.227, 0.167, 0.309, 0.316, 0.000, 0.000, 0.247, 0.142, 0.000, 0.387, 0.000, 0.120, 0.002, 0.314, 0.216
0.230, 0.000, 0.000, 0.261, 0.000, 0.000, 0.086, 0.000, 0.113, 0.084, 0.000, 0.000, 0.282, 0.122, 0.000, 0.051, 0.000, 0.000, 0.030, 0.000, 0.203, 0.000, 0.000, 0.051, 0.031, 0.000, 0.058, 0.278, 0.000, 0.334, 0.000, 0.167, 0.287, 0.053, 0.000, 0.000, 0.093, 0.000, 0.000, 0.000, 0.162, 0.062, 0.328, 0.000, 0.000, 0.000, 0.297, 0.000, 0.127, 0.000, 0.000, 0.000, 0.000, 0.269, 0.227, 0.000, 0.000, 0.093, 0.000, 0.319, 0.000, 0.000, 0.000, 0.000
0.172, 0.000, 0.000, 0.195, 0.000, 0.000, 0.064, 0.000, 0.084, 0.063, 0.000, 0.000, 0.210, 0.091, 0.000, 0.038, 0.000, 0.000, 0.022, 0.000, 0.151, 0.000, 0.000, 0.038, 0.023, 0.000, 0.043, 0.207, 0.000, 0.249, 0.000, 0.125, 0.214, 0.040, 0.000, 0.000, 0.070, 0.000, 0.000, 0.000, 0.121, 0.046, 0.245, 0.000, 0.000, 0.000, 0.221, 0.000, 0.094, 0.000, 0.000, 0.000, 0.000, 0.201, 0.169, 0.000, 0.000, 0.069, 0.000, 0.238, 0.000, 0.000, 0.000, 0.000
