0.459, 0.032, 0.532, 0.104, 0.000, 0.005, 0.151, 0.145, 0.000, 0.237, 0.253, 0.142, 0.001, 0.327, 0.398, 0.000
0.032, 0.002, 0.037, 0.007, 0.000, 0.000, 0.011, 0.010, 0.000, 0.017, 0.018, 0.010, 0.000, 0.023, 0.028, 0.000
0.532, 0.037, 0.617, 0.120, 0.000, 0.006, 0.176, 0.168, 0.000, 0.275, 0.293, 0.165, 0.001, 0.380, 0.462, 0.000
0.104, 0.007, 0.120, 0.023, 0.000, 0.001, 0.034, 0.033, 0.000, 0.053, 0.057, 0.032, 0.000, 0.074, 0.090, 0.000
0.000, 0.000, 0.000, 0.000, 0.045, 0.000, 0.000, 0.000, 0.024, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.156
0.005, 0.000, 0.006, 0.001, 0.000, 0.000, 0.002, 0.002, 0.000, 0.003, 0.003, 0.002, 0.000, 0.004, 0.005, 0.000
0.151, 0.011, 0.176, 0.034, 0.000, 0.002, 0.050, 0.048, 0.000, 0.078, 0.083, 0.047, 0.000, 0.108, 0.131, 0.000
0.145, 0.010, 0.168, 0.033, 0.000, 0.002, 0.048, 0.046, 0.000, 0.075, 0.080, 0.045, 0.000, 0.103, 0.126, 0.000
0.000, 0.000, 0.000, 0.000, 0.024, 0.000, 0.000, 0.000, 0.012, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.082
0.237, 0.017, 0.275, 0.053, 0.000, 0.003, 0.078, 0.075, 0.000, 0.122, 0.131, 0.073, 0.001, 0.169, 0.206, 0.000
0.253, 0.018, 0.293, 0.057, 0.000, 0.003, 0.083, 0.080, 0.000, 0.131, 0.139, 0.078, 0.001, 0.180, 0.220, 0.000
0.142, 0.010, 0.165, 0.032, 0.000, 0.002, 0.047, 0.045, 0.000, 0.073, 0.078, 0.044, 0.000, 0.101, 0.123, 0.000
0.001, 0.000, 0.002, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.001, 0.000, 0.000, 0.001, 0.001, 0.000
0.327, 0.023, 0.380, 0.074, 0.000, 0.004, 0.108, 0.103, 0.000, 0.169, 0.180, 0.101, 0.001, 0.234, 0.284, 0.000
0.398, 0.028, 0.462, 0.090, 0.000, 0.005, 0.131, 0.126, 0.000, 0.206, 0.220, 0.123, 0.001, 0.284, 0.346, 0.000
0.000, 0.000, 0.000, 0.000, 0.156, 0.000, 0.000, 0.000, 0.082, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.538
