0.51367, 0.00000, 0.63589, 0.00000, 0.40904, 0.42854, 0.00000, 0.00000, 0.00000, 0.00000, 0.53273, 0.00000, 0.00000, 0.00000, 0.00000, 0.64337
0.00000, 0.59551, 0.00000, 0.38110, 0.00000, 0.00000, 0.52393, 0.57826, 0.45946, 0.48635, 0.00000, 0.49830, 0.59020, 0.41535, 0.36347, 0.00000
0.00000, 0.65340, 0.00000, 0.41814, 0.00000, 0.00000, 0.57486, 0.63447, 0.50413, 0.53363, 0.00000, 0.54674, 0.64757, 0.45573, 0.39880, 0.00000
0.00000, 0.75134, 0.00000, 0.48082, 0.00000, 0.00000, 0.66103, 0.72957, 0.57969, 0.61361, 0.00000, 0.62869, 0.74463, 0.52404, 0.45858, 0.00000
0.63883, 0.00000, 0.79083, 0.00000, 0.50871, 0.53296, 0.00000, 0.00000, 0.00000, 0.00000, 0.66254, 0.00000, 0.00000, 0.00000, 0.00000, 0.80014
0.55642, 0.00000, 0.68881, 0.00000, 0.44308, 0.46420, 0.00000, 0.00000, 0.00000, 0.00000, 0.57707, 0.00000, 0.00000, 0.00000, 0.00000, 0.69692
0.00000, 0.72797, 0.00000, 0.46586, 0.00000, 0.00000, 0.64047, 0.70688, 0.56166, 0.59453, 0.00000, 0.60914, 0.72147, 0.50774, 0.44431, 0.00000
0.00000, 0.76288, 0.00000, 0.48820, 0.00000, 0.00000, 0.67118, 0.74078, 0.58859, 0.62304, 0.00000, 0.63835, 0.75607, 0.53209, 0.46562, 0.00000
0.00000, 0.54264, 0.00000, 0.34726, 0.00000, 0.00000, 0.47742, 0.52692, 0.41867, 0.44317, 0.00000, 0.45406, 0.53780, 0.37848, 0.33120, 0.00000
0.67988, 0.00000, 0.84164, 0.00000, 0.54139, 0.56720, 0.00000, 0.00000, 0.00000, 0.00000, 0.70511, 0.00000, 0.00000, 0.00000, 0.00000, 0.85155
0.00000, 0.94712, 0.00000, 0.60611, 0.00000, 0.00000, 0.83327, 0.91968, 0.73074, 0.77350, 0.00000, 0.79251, 0.93866, 0.66059, 0.57807, 0.00000
0.52795, 0.00000, 0.65357, 0.00000, 0.42042, 0.44045, 0.00000, 0.00000, 0.00000, 0.00000, 0.54755, 0.00000, 0.00000, 0.00000, 0.00000, 0.66126
0.00000, 0.71675, 0.00000, 0.45868, 0.00000, 0.00000, 0.63059, 0.69599, 0.55300, 0.58536, 0.00000, 0.59975, 0.71035, 0.49991, 0.43746, 0.00000
0.00000, 0.92995, 0.00000, 0.59512, 0.00000, 0.00000, 0.81817, 0.90301, 0.71749, 0.75948, 0.00000, 0.77815, 0.92165, 0.64861, 0.56759, 0.00000
0.51045, 0.00000, 0.63190, 0.00000, 0.40648, 0.42585, 0.00000, 0.00000, 0.00000, 0.00000, 0.52939, 0.00000, 0.00000, 0.00000, 0.00000, 0.63934
0.00000, 0.49933, 0.00000, 0.31954, 0.00000, 0.00000, 0.43931, 0.48486, 0.38525, 0.40779, 0.00000, 0.41782, 0.49487, 0.34827, 0.30476, 0.00000
