0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000
0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000
0.011, 0.007, 0.001, 0.006, 0.014, 0.014, 0.004, 0.007, 0.017, 0.851
0.011, 0.000, 0.002, 0.018, 0.025, 0.009, 0.013, 0.005, 0.025, 0.763
0.004, 0.010, 0.003, 0.007, 0.008, 0.000, 0.038, 0.028, 0.596, 0.041
0.023, 0.016, 0.025, 0.016, 0.017, 0.000, 0.019, 0.003, 0.758, 0.015
0.002, 0.002, 0.001, 0.002, 0.002, 0.000, 0.001, 0.003, 0.968, 0.002
0.014, 0.019, 0.036, 0.017, 0.038, 0.028, 0.016, 0.018, 0.031, 0.563
0.002, 0.001, 0.002, 0.002, 0.006, 0.005, 0.006, 0.001, 0.936, 0.000
0.000, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.979, 0.001
0.020, 0.039, 0.048, 0.045, 0.032, 0.029, 0.025, 0.015, 0.049, 0.513
0.007, 0.014, 0.010, 0.023, 0.028, 0.005, 0.008, 0.007, 0.739, 0.020
0.024, 0.003, 0.009, 0.015, 0.018, 0.008, 0.015, 0.018, 0.017, 0.752
0.005, 0.002, 0.005, 0.002, 0.002, 0.001, 0.001, 0.004, 0.950, 0.003
0.010, 0.050, 0.044, 0.005, 0.038, 0.047, 0.051, 0.012, 0.047, 0.536
0.013, 0.011, 0.012, 0.008, 0.012, 0.001, 0.003, 0.005, 0.875, 0.005
0.008, 0.011, 0.002, 0.003, 0.001, 0.004, 0.006, 0.010, 0.002, 0.900
0.042, 0.016, 0.030, 0.006, 0.011, 0.008, 0.016, 0.005, 0.615, 0.005
0.007, 0.009, 0.015, 0.011, 0.014, 0.007, 0.005, 0.015, 0.022, 0.794
0.005, 0.000, 0.001, 0.002, 0.000, 0.002, 0.001, 0.005, 0.955, 0.001
